stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
1058,2295,1788185248487,1788185248527,40,36.109746,0,3,0,34078688,0,0
1058,2307,1788185248487,1788185248528,41,36.571884,0,3,0,34078688,0,0
1058,2305,1788185248487,1788185248528,41,36.603645,0,3,0,34078688,0,0
1058,2296,1788185248487,1788185248529,42,35.238293,0,3,0,34078688,0,0
1058,2303,1788185248487,1788185248531,44,35.477502,0,3,0,34078688,0,0
1058,2293,1788185248486,1788185248536,50,31.047052,0,3,0,34078688,0,0
1058,2297,1788185248487,1788185248537,50,30.438663,0,3,0,34078688,0,0
1058,2308,1788185248487,1788185248538,51,30.162442,0,3,0,34078688,0,0
1058,2298,1788185248487,1788185248539,52,29.702431,0,3,0,34078688,0,0
1058,2309,1788185248518,1788185248540,22,18.613172,0,2,0,34078688,0,0
1059,2311,1788185249940,1788185250002,62,56.062014,0,1,0,0,0,0
1059,2310,1788185249940,1788185250255,315,290.98721,0,1,0,0,0,0
1061,2312,1788185250265,1788185250266,1,0.502392,0,0,0,0,0,0
1063,2315,1788185251602,1788185251700,98,91.465133,0,1,0,0,0,0
1062,2313,1788185251598,1788185251981,383,355.39561,0,1,0,0,0,0
1063,2314,1788185251602,1788185252033,431,408.840295,0,1,0,0,0,0
1065,2316,1788185252043,1788185252050,7,5.57704,0,0,0,0,0,0
1067,2317,1788185252072,1788185252094,22,18.561074,0,1,0,3407872,0,0
1067,2323,1788185252072,1788185252099,27,22.94682,0,1,0,3407872,0,0
1067,2327,1788185252072,1788185252099,27,23.470651,0,1,0,3407872,0,0
1067,2325,1788185252072,1788185252099,27,23.593872,0,1,0,3407872,0,0
1067,2328,1788185252072,1788185252099,27,23.573925,0,1,0,3407872,0,0
1067,2321,1788185252072,1788185252099,27,23.02571,0,2,0,3407872,0,0
1067,2326,1788185252072,1788185252102,30,23.129585,0,1,0,3407872,0,0
