config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q6,1788183834.3938909,1788183835.9992836,1605.3926944732666
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q12,1788183835.999982,1788183837.9220207,1922.0385551452637
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q14,1788183837.92273,1788183839.633708,1710.9780311584473
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q18,1788183839.6343632,1788183843.1852057,3550.842523574829
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q1,1788183859.4942884,1788183867.377658,7883.369445800781
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q3,1788183867.384407,1788183869.9564857,2572.0787048339844
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q6,1788183869.9572616,1788183871.7363691,1779.1075706481934
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q12,1788183871.737105,1788183873.5537024,1816.5974617004395
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q14,1788183873.5544178,1788183875.290793,1736.375093460083
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,concurrent,Q18,1788183875.2915714,1788183878.8804746,3588.9031887054443
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q1,1788183894.6275563,1788183902.1751833,7547.626972198486
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q3,1788183902.17761,1788183904.4839478,2306.337833404541
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q6,1788183904.4847624,1788183906.292066,1807.3036670684814
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q12,1788183906.292781,1788183908.1754835,1882.702350616455
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q14,1788183908.1762125,1788183909.863624,1687.4115467071533
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,concurrent,Q18,1788183909.864348,1788183913.4568145,3592.4665927886963
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q1,1788183928.0261765,1788183935.306733,7280.556440353394
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q3,1788183935.3088338,1788183937.5367315,2227.8976440429688
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q6,1788183937.5374951,1788183939.3162737,1778.7785530090332
